26-11-2025 15:04:55,test,High
26-11-2025 15:55:53,test,Very High
26-11-2025 16:24:46,test,High
26-11-2025 16:25:47,test,Fair
26-11-2025 16:26:01,test,High
26-11-2025 16:26:32,test,Fair
26-11-2025 16:27:16,test,Low
26-11-2025 16:27:32,test,High
26-11-2025 16:27:48,test,Fair
26-11-2025 16:28:04,test,Low
26-11-2025 16:28:17,test,Fair
26-11-2025 16:30:24,test,Fair
26-11-2025 16:30:54,test2,Fair
26-11-2025 16:32:31,test2,Fair
26-11-2025 16:35:16,test2,High
26-11-2025 16:35:36,test2,Fair
02-12-2025 16:35:24,changingtimer,Fair
02-12-2025 16:39:53,changingtimer,High
02-12-2025 16:40:46,testttt,Fair
02-12-2025 16:43:01,testestes,Low
02-12-2025 16:48:32,newtimer,Fair
02-12-2025 16:53:01,newtimer,Fair
